feature,importance
RSI,0.003758707816708283
Stochastic_K,0.0030145698025429656
Bollinger_%b,0.0029291778044129974
Stochastic_D,0.0019312884375988558
MACD_Hist,0.0016711083439815196
MACD_Signal,0.0015855061267558348
SMA_200,0.0014212976310238675
Bollinger_Width,0.0006128724355895824
ADX,0.0005569040220266437
SMA_50,0.0005145836999516429
return_lag_2,0.0004161048972660467
Bollinger_High,0.000347407843256149
return,0.00032354782958116725
SMA_20,0.00031238326112538516
Bollinger_Low,0.0002718152358755162
EMA_20,0.0001637634322776437
return_lag_5,0.00010217998487379143
return_lag_1,0.00010110308607805103
MACD,3.5459361983776884e-05
