horizon,model,R2,RMSE,MAE,HitRate
1,Linear,0.047991885390205824,0.006820905142126745,0.005125377361935692,0.5521235521235521
1,Ridge,0.04403873368014577,0.006835052153449723,0.005097470933750853,0.5444015444015444
1,Lasso,0.028525565832345556,0.006890287965828426,0.005140615594145872,0.5791505791505791
1,XGB,0.06285369116076467,0.006767455118911161,0.00506895352041962,0.640926640926641
1,ENet,0.025228355172972616,0.006901970973520189,0.005148579152922764,0.5714285714285714
1,RF,0.014606032453683526,0.006939475301663253,0.005147156491547315,0.6177606177606177
2,Linear,0.035329845646716596,0.009308067466515559,0.007205628306853658,0.5212355212355212
2,Ridge,0.0314115885320948,0.009326951870643908,0.0071696359878469515,0.5521235521235521
2,Lasso,-0.019181445206679415,0.009567442385172436,0.007277090175498237,0.528957528957529
2,XGB,0.024390348189540556,0.009360696090965579,0.0071427207235017914,0.5637065637065637
2,ENet,-0.019181445206679415,0.009567442385172436,0.007277090175498237,0.528957528957529
2,RF,0.034431481656615914,0.009312400598767845,0.0071515751473658126,0.6061776061776062
3,Linear,0.02584718104473427,0.0115649130249076,0.009047168591834825,0.5328185328185329
3,Ridge,0.02433434672310064,0.011573889547712194,0.008913586526146126,0.4942084942084942
3,Lasso,-0.027885272873532152,0.011879581654534841,0.009010876025002825,0.5328185328185329
3,XGB,0.01873003861904121,0.011607082662451116,0.00880267563409027,0.5791505791505791
3,ENet,-0.027885272873532152,0.011879581654534841,0.009010876025002825,0.5328185328185329
3,RF,0.047208113371340565,0.011437414230988319,0.008739818849806347,0.6216216216216216
4,Linear,0.025668350858247257,0.013316391317640213,0.010710004250874162,0.5193798449612403
4,Ridge,0.02512768029565149,0.013320085533184532,0.010572722174699975,0.5271317829457365
4,Lasso,-0.03851471796620398,0.01374799836606778,0.01070736419502109,0.5116279069767442
4,XGB,-0.006199730917814339,0.013532412959142282,0.01040944214971106,0.5542635658914729
4,ENet,-0.03851471796620398,0.01374799836606778,0.01070736419502109,0.5116279069767442
4,RF,0.05151085188909077,0.013138607147242189,0.01028877152141016,0.624031007751938
5,Linear,0.04162625333371628,0.014822268957325066,0.011821519185714563,0.5736434108527132
5,Ridge,0.037604008296640234,0.014853340538027076,0.011686599397713245,0.5697674418604651
5,Lasso,-0.04917614996452846,0.015508558769013797,0.012029052959133205,0.5
5,XGB,-0.08643546713101902,0.015781533544690047,0.01194696860442147,0.5465116279069767
5,ENet,-0.04917614996452846,0.015508558769013797,0.012029052959133205,0.5
5,RF,0.046381617657965335,0.014785449844602115,0.011428258669092695,0.6395348837209303
